السيرة الذاتية هي,تفاصيل اكاديمية,جواز سفر للنجاح المستقبلي,تفاصيل عمليه,"كل ما سبق ",4
السيرة الذاتية هي,بطاقة تعريف الفرد,اداة ترويج لنفسك لجذب انتباه صاحب العمل,مفتاح الوصول للمقابلة الشخصية,"كل ما سبق ",4
من مواصفات السيرة الذاتية,استخدام اسلوب النقاط,لا تضع صورتك الشخصية,"أ، ب معا ",استخدام الفقرات,3
في البداية قبل كتابة سيرتك الذاتية عليك,"عمل تقييم ذاتي لنفسك ",تحديد المكان الموجه ليه السيرة الذاتية,تحديد متطلبات المكان المقدم ليه السيرة الذاتية,مراجعة نماذج مقدمه لهذه الجهة سابقا,1
عند كتابة السيرة الذاتية عليك ان تكن,مقنعا وذلك بتقديم الادلة,معرفة متطلبات العمل وما يوافق مهاراتك,صادقا,"كل ما سبق ",4
يجب تقسيم السيرة الذاتية الي فقرات تعبر عن مجموعات متجانسة من البيانات مثل,"الاهداف ",معلومات عن الجهة المقدم لها السيرة الذاتية,معلومات تخدم الجهة,ليس مما سبق,1
من البيانات الشخصية التي تكتب في السيرة الذاتية,الميلاد,موقع الانترنت,الحالة الاجتماعية,"كل ما سبق ",4
الفقرة التي تحتوي على المهام التي يمكن ان تقوم بها هي,"فقرة الاهداف ",فقرة خبرات العمل,فقرة التعليم,ليس مما سبق,1
فقرة خبرات العمل المذكورة في السيرة الذاتية يتم كتابة الوظائف على النحو التالي,"الاحدث تليها الاقدم فالأقدم ",الاقدم تليها الاحدث فالأحدث,الاقرب للمجال يليها الابعد,ليس ضروري مراعاة الترتيب,1
في فقرة خبرات العمل يتم كتابة لكل وظيفة سابقة,اسم المنصب,فترة العمل بها,شرح المهام التي كنت تقوم بها في هذه الوظيفة,"كل ما سبق ",4
هي عبارة عن استطلاع اولي الغرض منه التأكد من عدم وجود مشاكل جوهرية تعوق تنفيذ المشروع,"دراسة الجدوى المبدئية ",دراسة الجدوى السوقي,دراسة الجدوى التفصيلية,جميع ما سبق,1
هي دراسة العوامل المحددة للطلب على منتجات المشروع المقترح,دراسة الجدوى المبدئية,"دراسة الجدوى السوقية ",دراسة الجدوى التفصيلية,جميع ما سبق,2
هي دراسات لاحقة لدراسات الجدوى الاولية لكنها أكثر تفصيليه ودقة منها,دراسة الجدوى المبدئية,دراسة الجدوى السوقية,"دراسة الجدوى التفصيلية ",جميع ما سبق,3
هي الدراسة التي تنحصر مهمتها في دراسة جميع الجوانب الفنية المتعلقة بالمشروع المقترح؟,دراسة الجدوى المبدئية,دراسة الجدوى السوقية,"دراسة الجدوى الفنية ",جميع ما سبق,3
عندما يطلب منك الراتب السابق او توقعاتك للراتب الجديد؟,حاول الحديث عن الراتب السابق,حاول الحديث عن المهام والانجازات,احرص على اعطاء نطاقا,"الثانية والثالثة ",4
إذا رفض عرضك للراتب؟,حاول ان توصل شعور بانك راغب للعمل في الشركة والانسجام مع الاعضاء,تكلم عن مهاراتك وخبراتك السابقة التي لها اتصال بوظيفتك الحالية,وضح ان متطلبات الوظيفة وخبراتك السابقة مناسبة مع العرض,"جميع ما سبق ",4
إذا شعرت ان ثقتك تتلاشي؟,قف,مارس تمارين التنفس والاسترخاء,تحدث عن انجازاتك السابقة,"الاولى والثانية ",4
الافكار التي يجدر بك تنفيذها في اول ايام عملك هي,تسأل كثيرا,"تسمع كثيرا ",تتكلم كثيرا,تحتك بالموظفين,2
كيف تتفوق في بيئة جديدة كليا في عمل جديد عليك ان,تحضر نفسك جيدا,تحضرا مبكرا,أنصت,"جميع ما سبق ",4
كم عدد الخطوات التي يجب عليك اتباعها في العمل الجديد,11,"15 ",13,12,2
تعرف على التوقعات من عملك في وقت,"مبكر ",متأخر,لا يهم ان تعرف,إذا طلب منى,1
السيرة الذاتية مجرد وثيقة تحتوي على تفاصيل اكاديمية او علمية متعلقة بك.,عبارة صحيحة.,"عبارة خاطئة. ",2
في السيرة الذاتية يمكنا ترك مجال لخيالات القارئ.,عبارة صحيحة.,"عبارة خاطئة. ",2
يمكن استخدام الاختصارات في السيرة الذاتية.,عبارة صحيحة.,"عبارة خاطئة. ",2
يجب أن تتكون السيرة الذاتية من أكثر من صفحة.,عبارة صحيحة.,"عبارة خاطئة. ",2
يجب تحديد المرتب المطلوب في السيرة الذاتية.,عبارة صحيحة.,"عبارة خاطئة. ",2
صيغة المبني للمجهول عند الحديث عن إنجازاتك في السيرة الذاتية هي من الأشياء غير المقبولة.,"عبارة صحيحة. ",عبارة خاطئة.,1
يجب استخدام البعد الرقمي في الحديث عن إنجازاتك في السيرة الذاتية.,"عبارة صحيحة. ",عبارة خاطئة.,1
لا يهم استخدام علامات الترقيم بشكل صحيح خاصة إذا كانت السيرة الذاتية باللغة الإنجليزية.,عبارة صحيحة.,"عبارة خاطئة. ",2
يمكن استخدام حجم الخط المميز لكتابة بعض المعلومات الهامة.,"عبارة صحيحة. ",عبارة خاطئة.,1
الهدف الأول من الخطاب التمهيدي هو التعبير عن الرغبة في العمل بالوظيفة المعلن عنها.,"عبارة صحيحة. ",عبارة خاطئة.,1
من أهداف الخطاب التمهيدي هو إقناع صاحب العمل أنك الشخص الأمثل للوظيفة.,"عبارة صحيحة. ",عبارة خاطئة.,1
يوجد عدد كبير من الوظائف في الشرق الأوسط للخريجين الجدد.,"عبارة صحيحة. ",عبارة خاطئة.,1
أول مرحلة للخروج من حالة التخبط هي أن تدرك أنك محبط.,"عبارة صحيحة. ",عبارة خاطئة.,1
الجلوس في البيت والجلوس دون فائدة لن يعزز عملية بحثك.,"عبارة صحيحة. ",عبارة خاطئة.,1
من اهم عوامل بناء محيط مساند لك من حولك أن تتابع أشخاص ناجحين وسعداء مهنيا.,"عبارة صحيحة. ",عبارة خاطئة.,1
سماع أصحاب الخبرة وقراءة قصص الناجحين تمنح الحافز لإيجاد وظيفة.,"عبارة صحيحة. ",عبارة خاطئة.,1
الاعمال التطوعية طريقة جيدة تعطي الاحساس بانك ذو نفع في الحياة.,"عبارة صحيحة. ",عبارة خاطئة.,1
الاسترخاء والتمارين من عوامل الحفاظ على التوازن.,"عبارة صحيحة. ",عبارة خاطئة.,1
ليس سلوكك فقط ما يضمن لك الحصول على وظيفة.,"عبارة صحيحة. ",عبارة خاطئة.,1
إذا باءت خطط التفاوض للفشل عليك الحديث عن بعض المستحقات الأخرى مثل التامين الصحي.,"عبارة صحيحة. ",عبارة خاطئة.,1
مقابلات الهاتف أكثر سهولة من المقابلات الشخصية.,عبارة صحيحة.,"عبارة خاطئة. ",2
تقديم نفس السيرة الذاتية الى مواقع اخرى يعد من اسباب عدم الحصول على وظيفة.,"عبارة صحيحة. ",عبارة خاطئة.,1
ارفاق خطاب مقدمة مع السيرة الذاتية يجب ان يبين رغبة الشخص في الحصول على الوظيفة.,"عبارة صحيحة. ",عبارة خاطئة.,1
يجب متابعة السيرة الذاتية المقدمة والتأكد من الاطلاع عليها من جانب صاحب العمل.,"عبارة صحيحة. ",عبارة خاطئة.,1
عدم التهيؤ للمقابلة بشكل جيد قد يكون سبب في الرفض من الوظيفة.,"عبارة صحيحة. ",عبارة خاطئة.,1
يجب ارتداء زي رسمي اثناء حضور المقابلة الخاصة بالتقدم للعمل.,"عبارة صحيحة. ",عبارة خاطئة.,1
هل يقوم صاحب العمل بمراقبتك وقراءة لغة جسدك اثناء المقابلة.,"عبارة صحيحة. ",عبارة خاطئة.,1
